id,prompt_style,question,gold,raw_answer,final_answer,f1,bleu,bert_f1,hallu_label
1125,direct,What kingdom came into existence due to conflicts with northern groups such as the Khitan and Xianbei?,"In direct response to the threats posed by northern groups such as the Khitan and Xianbei, the Goguryeo kingdom was established. Throughout its history, particularly from the late fourth century onwards, Goguryeo's militaristic endeavors, spearheaded by King Gwanggaeto, were a defining factor in its expansionist strategies. Beyond mere warfare, Goguryeo engaged in significant diplomatic efforts to create alliances that would help strengthen its position against these northern adversaries. Additionally, the kingdom's cultural advancements, such as adopting written scripts and enhancing its royal funerary practices with murals, underscore the transformation that arose from these northern conflicts, weaving together military action and cultural sophistication into its identity.",The Kingdom of Goryeo came into existence due to conflicts with northern groups such as the Khitan and Xianbei.,The Kingdom of Goryeo came into existence due to conflicts with northern groups such as the Khitan and Xianbei.,0.2222222222222221,0.2270114821468258,0.89269954,1
1030,direct,What were the lifestyles of the different populations in the Maghreb at the time of Carthage's founding as described in the text?,"The distinct populations in the Maghreb at the time of Carthage's founding exhibited varied lifestyles based on their geographic settings. The settled farmers on the coastal plains focused on agricultural practices, utilizing the advantages of fertile land to grow crops. Alternatively, the seminomadic pastoralists of the Atlas Mountains adapted their way of life to a more mobile existence, managing livestock and shifting with the seasons. In the Sahara, nomadic tribes thrived in the arid conditions, navigating the desert and engaging in trade. This diversity illustrates the complexities of the Maghreb's early societies; despite being collectively referred to as Berbers, each ethnic group, such as the Musulamii and Gaetuli, developed sophisticated cultures and social systems that defied the simplistic label imposed by outsiders.","At the time of Carthage's founding, the Maghreb populations included sedentary agricultural communities, nomadic pastoralists, and coastal traders.","At the time of Carthage's founding, the Maghreb populations included sedentary agricultural communities, nomadic pastoralists, and coastal traders.",0.2097902097902098,0.1418675658810376,0.8800919,0.5
1449,direct,"What was the original intention of Imhotep's design for the king's tomb, and what was the final architectural structure he created?","Originally, Imhotep intended to create a stone mastaba for the pharaoh Djoser during the Early Dynastic period, which represented a continuation of the established burial practices of the time. The mastaba, made of mud-brick until then, was crucial for housing the physical body and its Ka, tied to the spiritual beliefs in the afterlife. However, as the project progressed, Imhotep's architectural ingenuity shone through as he added multiple smaller mastabas to create a tiered structure. The resulting step pyramid not only fulfilled the functional requirements of a tomb but also symbolized a significant departure from traditional designs, marking an important evolution in ancient Egyptian architecture and serving as a testament to Imhotep's vision and creativity.","Imhotep originally intended to build a traditional mastaba tomb for the king, but he ultimately created the Step Pyramid of Djoser, the first large-scale stone pyramid.","Imhotep originally intended to build a traditional mastaba tomb for the king, but he ultimately created the Step Pyramid of Djoser, the first large-scale stone pyramid.",0.2620689655172413,0.1854186353185425,0.87391925,0
1493,direct,What are the primary labor activities of rural peoples in Southeast Asia today?,"The primary labor activities of rural peoples in Southeast Asia today are deeply rooted in traditional practices, primarily revolving around farming and fishing. For instance, rice cultivation continues to play a critical role, utilizing skill and cooperation, particularly in terraced rice paddies. This collective effort not only sustains the local economy but also fosters village leadership and unity among families. Elders, who are often key figures in this process, apply their extensive knowledge in selecting rice breeds, managing resources, and facilitating community discussions that emphasize respect for seniority and traditional values.","The primary labor activities of rural peoples in Southeast Asia today are agriculture, including rice farming, fishing, and small-scale animal husbandry.","The primary labor activities of rural peoples in Southeast Asia today are agriculture, including rice farming, fishing, and small-scale animal husbandry.",0.2831858407079646,1.411165210129158,0.889361,0.5
344,direct,How did Venetian merchants influence the Fourth Crusade? What was Pope Innocent III's stance on this influence?,"The influence of Venetian merchants on the Fourth Crusade was significant, as they provided the necessary transportation and supplies to the crusaders. However, this came at a cost, leading to substantial debt. Rather than continuing the campaign against the Muslims in Egypt, the crusaders were coerced into conquering Zadar (modern-day Croatia) to settle their financial obligations. This shift in focus not only deviated from the original goal of reclaiming the Holy Land but also marked a critical distraction of efforts that had been envisioned by Pope Innocent III.   * Key Points:   * The Venetian merchants' insistence on taking Zadar indicates their economic leverage in the situation.   * The diversion from the crusade's intended target highlights the complexity of Venice's role in the Crusades.","Venetian merchants influenced the Fourth Crusade by redirecting it to capture Constantinople for Venice's commercial gain, while Pope Innocent III disapproved of this diversion from the original goal of reclaiming Jerusalem.","Venetian merchants influenced the Fourth Crusade by redirecting it to capture Constantinople for Venice's commercial gain, while Pope Innocent III disapproved of this diversion from the original goal of reclaiming Jerusalem.",0.2709677419354838,1.047864173363873,0.8785343,1
1022,direct,How did the crowd and the emperor influence the outcome of gladiatorial matches?,"The emperor played a pivotal role in determining the fate of gladiators through his signals of approval or disapproval during matches. Specifically, the emperor's gestures—such as a 'thumb up' indicating that a wounded gladiator should be spared or a 'thumb down' suggesting execution—could directly alter the outcome of an encounter. This authoritative influence not only shaped the lives of individual gladiators but also reflected the broader societal and political control the emperor exercised over public spectacles. Such decisions made by the emperor also likely impacted the morale and strategy of the gladiators, knowing that their survival could hinge on fleeting gestures from the highest authority in the arena.",The crowd's reactions and the emperor's gestures often determined a gladiator's fate by signaling whether they should be spared or killed.,The crowd's reactions and the emperor's gestures often determined a gladiator's fate by signaling whether they should be spared or killed.,0.2074074074074074,0.2382381901097805,0.88208544,0
1681,direct,How did Aksum's isolation influence its version of Christianity compared to Mediterranean communities?,"The isolation of Aksum from the broader Christian world resulted in significant differences in its religious expression compared to Mediterranean communities. This geographic separation contributed to the evolution of Christianity in Aksum, where local adaptations took precedence over external influences. For instance, the absence of competition with other religious practices, typical in densely populated urban centers in the Mediterranean, allowed Aksum to cultivate a form of Christianity that aligned closely with ascetic traditions. The monasteries in remote areas became centers for spiritual learning and retreat, distinguishing Aksumite Christianity by its emphasis on asceticism and community life. Additionally, while Mediterranean Christians engaged in theological debates—such as those surrounding Nestorian Christianity—Aksum's isolation afforded it an independent path, fostering a version of Christianity that integrated local customs without the immediate pressure of doctrinal disputes prevailing elsewhere.","Aksum's isolation led to the development of a distinct form of Christianity that incorporated local traditions and maintained the use of Ge'ez, differing from the theological and liturgical practices of Mediterranean Christian communities.","Aksum's isolation led to the development of a distinct form of Christianity that incorporated local traditions and maintained the use of Ge'ez, differing from the theological and liturgical practices of Mediterranean Christian communities.",0.2923976608187134,0.5364782003627641,0.87559843,0.5
322,direct,What pilgrimage did Mansa Musa undertake between 1324 and 1325?,"Mansa Musa's pilgrimage from 1324 to 1325 was a significant journey to Mecca and Egypt, marking a pivotal moment in the history of the Mali Empire. This pilgrimage is noted for its grandeur; Mansa Musa traveled with a massive caravan that included sixty thousand soldiers, five hundred captives, and hundred camel-loads of gold. Upon reaching Cairo, he received a royal welcome from the Sultan of Egypt, given their shared faith as Muslims. Mansa Musa famously distributed so much gold during his visit that it caused the value of gold in Cairo to plummet and took twelve years to recover, thereby demonstrating both his immense wealth and the economic impact of his journey.","Mansa Musa undertook the Hajj, the Islamic pilgrimage to Mecca, between 1324 and 1325.","Mansa Musa undertook the Hajj, the Islamic pilgrimage to Mecca, between 1324 and 1325.",0.15625,0.0027558393997011,0.87846935,0
1404,direct,What title did Hulagu adopt after Kublai was recognized as the great khan?,"After Kublai was recognized as the great khan, Hulagu adopted the title of il-khan, which translates to *lesser khan*. This title signified his position as a subordinate ruler within the fragmented Mongol Empire that emerged following the death of Mongke and subsequent power struggles among the khans. Hulagu established his domain known as the Il-Khanate, pursuing independent policies while acknowledging Kublai's supremacy. This shift to different khanates marked a significant transformation in the political landscape of the Mongol territories, leading to distinct administrative practices and cultural developments in each region.",Hulagu adopted the title of Ilkhan after Kublai was recognized as the Great Khan.,Hulagu adopted the title of Ilkhan after Kublai was recognized as the Great Khan.,0.2429906542056074,0.1022613960664406,0.88362634,0
339,direct,How did the Shia view Ali's leadership and its significance for their identity?,"The Shia perspective on Ali's leadership diverges significantly from that of the Sunni majority, who chose Abu Bakr as the first leader post-Muhammad. For the Shia, Ali's leadership is not only significant for its political implications but also for its spiritual dimensions. They regard him as the rightful successor, reflecting a commitment to the Prophet's family that extends beyond mere governance. The Shia's reverence for Ali is intertwined with their devotion to the principles of justice and resistance against tyranny, especially highlighted by the brutal events at Karbala. This struggle shapes their identity, as they see their faith as one in defense of Ali's legacy and the continued relevance of his family's role in Islamic governance.   - Faith and Leadership: Shia Muslims view Ali as a symbol of righteous leadership and morality. - Conflict and Identity: The ongoing commemorative practices related to Ali's descendants serve to reinforce Shia identity, underscoring the group's historical narratives of struggle and sacrifice.","The Shia viewed Ali's leadership as divinely appointed and central to their religious identity, seeing him as the rightful successor to Muhammad and the first Imam whose authority was both spiritual and political.","The Shia viewed Ali's leadership as divinely appointed and central to their religious identity, seeing him as the rightful successor to Muhammad and the first Imam whose authority was both spiritual and political.",0.2311557788944724,0.2735894011666531,0.87824994,0.5
70,direct,What significant event around forty thousand years ago affected the Neanderthal population in Europe?,"The period around forty thousand years ago marks a crucial moment in the history of the Neanderthals in Europe. At this time, the species Neanderthalensis began to experience unprecedented population loss. This decline coincided with the entry of modern humans into Europe, raising questions about the interactions between the two species. Scholars have been trying to understand the causes behind this near extinction, which could be attributed to various factors such as competition for resources, climatic changes, or disease. The event is significant as it highlights the transitional nature of early human societies and sets the stage for the development of modern humans in a landscape that was once dominated by Neanderthals.","Around forty thousand years ago, the arrival of anatomically modern humans in Europe led to the decline and eventual extinction of the Neanderthal population.","Around forty thousand years ago, the arrival of anatomically modern humans in Europe led to the decline and eventual extinction of the Neanderthal population.",0.2794117647058823,0.3003341640167287,0.8846584,0.5
237,direct,"According to Zoroastrian teachings, what is the outcome of the struggle between good and evil?","The outcome of the struggle between good and evil, as per Zoroastrian doctrine, is the eventual triumph of good, a doctrine deeply embedded in the socio-political landscape of the Sasanian Empire. The Sasanian kings, tasked with upholding this religious tenet, engaged in significant actions to promote and implement Zoroastrian beliefs, implying that religious fidelity was also a matter of state policy. The context of regional conflicts, particularly with the Byzantines in the sixth and seventh centuries, serves to highlight how this struggle was mirrored in the geopolitical battles of the time. Thus, the teachings not only allude to metaphysical outcomes but also reflect the persistent intertwining of religion and governance where the victory of good translates into political stability and unity against perceived external influences.","According to Zoroastrian teachings, the struggle between good and evil ultimately ends with the triumph of good and the restoration of order.","According to Zoroastrian teachings, the struggle between good and evil ultimately ends with the triumph of good and the restoration of order.",0.2297297297297297,0.2739856328150494,0.8864874,0.5
382,direct,What did the Kushite leadership learn about the utility of iron after facing the Assyrian army?,"The Kushite leadership learned about the strategic importance of iron after their encounter with the well-trained Assyrian army, which wielded iron weapons. This confrontation highlighted the advantage of iron in warfare, motivating Kushite leaders to adopt and advance iron smelting technology in their region. Furthermore, archaeological evidence at Meroe indicated that the site had a history of elite presence dating back to the early ninth century BCE, emphasizing that the Kushites had long been aware of their natural iron ore resources. Consequently, they began to see iron not just as a material for tools, but as a critical element for military resilience and economic prosperity.",The Kushite leadership learned that iron weapons and military technology were crucial for effective defense after facing the better-armed Assyrian army.,The Kushite leadership learned that iron weapons and military technology were crucial for effective defense after facing the better-armed Assyrian army.,0.234375,0.1225157298013118,0.89554256,0.5
135,direct,How did the decentralized feudal system of the Zhou lead to the regional lords amassing armies and diminishing the power of the king?,"The Zhou dynasty's decentralized feudal structure initially aimed to maintain control over vast territories by delegating authority to local lords through aristocratic titles and privileges. The king's reliance on these leaders to administer their own domains allowed them to fulfill similar roles as the royal family, including spiritual and administrative tasks. Consequently, this autonomy enabled local lords to gather resources and support from their regions, leading them to build their own military forces and seek technological advancements. Over time, such developments not only undermined the king's power but also fostered a political landscape characterized by competition and fragmentation among the various regional powers.","The decentralized feudal system of the Zhou granted regional lords autonomous control over their territories, enabling them to build independent armies and gradually weaken the king's central authority.","The decentralized feudal system of the Zhou granted regional lords autonomous control over their territories, enabling them to build independent armies and gradually weaken the king's central authority.",0.2814814814814814,0.6275338221350597,0.9034854,0
964,direct,What were the controversial aspects of Omar Khayyam's poetry during his time?,"Omar Khayyam's poetry stirred controversy primarily due to its themes that challenged religious orthodoxy. Key points of contention include: - Irreligious Accusations: At the Seljuk court, Khayyam was accused of being irreligious, highlighting that his works often diverged from strict Islamic principles.  - Wine Imagery: His frequent references to drinking wine directly conflicted with Islamic doctrine, which forbids alcohol. Such expressions were interpreted both literally and metaphorically, emphasizing life's pleasures, but they raised eyebrows amongst conservative scholars and officials. - Personal Spirituality vs. Religious Conformity: While some contemporaries saw his work as a reflection of Sufi ideals that promote personal spirituality over conformist practices, this perspective further alienated him from those who upheld traditional interpretations of Islam. Thus, Khayyam's poetry invited criticism not only for its content but also for the broader implications about faith and personal experience.","Omar Khayyam's poetry was controversial for its skeptical views on religion, questioning of orthodox Islamic beliefs, and emphasis on earthly pleasures over spiritual salvation.","Omar Khayyam's poetry was controversial for its skeptical views on religion, questioning of orthodox Islamic beliefs, and emphasis on earthly pleasures over spiritual salvation.",0.147239263803681,0.0390940366189523,0.8792846,0.5
660,direct,What were the functions of tokens used in the accounting system prior to the development of cuneiform writing?,"Before the establishment of cuneiform writing, tokens played a pivotal role in the accounting practices of ancient Sumerian societies. These clay tokens, dating back thousands of years, were essential for tracking economic activities and managing resources. Schmandt-Besserat proposed that the images on the bullae not only represented the tokens contained within but also documented the type of transactions occurring, making them a crucial step in the evolution towards written communication. This system of tokens allowed for a more organized method of accounting, underpinning the development of complex trade networks in Mesopotamia, ultimately leading to the innovation of writing itself.",Tokens were used to represent and record quantities of goods for accounting and trade purposes before the development of cuneiform writing.,Tokens were used to represent and record quantities of goods for accounting and trade purposes before the development of cuneiform writing.,0.2314049586776859,0.251453203870992,0.8735798,0
429,direct,What did the removal of the Serpent Column to Constantinople symbolize in relation to Constantine's connection to Apollo and his victories?,"The removal of the Serpent Column to Constantinople symbolized a strategic reclamation of cultural and religious pride for Constantine. By relocating this ancient Greek monument dedicated to Apollo—considered the sun god—Constantine signified his alignment with Apollo's attributes, which were closely tied to victorious leadership and divine favor. The column's original installation in Delphi, esteemed as the center of the world, connected Constantinople to this prestigious heritage. Moreover, by reinterpreting the column's original purpose, which celebrated the Greek victory over the Persians, Constantine subtly highlighted his own military successes during the civil wars, thus reinforcing his political legitimacy and authority in his newly established capital.","The removal of the Serpent Column to Constantinople symbolized Constantine's appropriation of Apollo's divine favor and his military victories, linking his rule to ancient heroic triumphs and divine legitimacy.","The removal of the Serpent Column to Constantinople symbolized Constantine's appropriation of Apollo's divine favor and his military victories, linking his rule to ancient heroic triumphs and divine legitimacy.",0.3428571428571428,2.2383942740202327,0.89962095,0.5
973,direct,What roles did Raziya in the Delhi Sultanate and Shajar al-Durr among the Mamluks play during political upheaval?,"### Overview of Political Turmoil in the Delhi Sultanate and Mamluk Egypt Both Raziya and Shajar al-Durr assumed crucial roles during intense periods of political upheaval in their respective societies, highlighting the power struggles that marked their reigns. In the Delhi Sultanate, after Iltutmish's death in 1236, Raziya’s potential to lead was evident; she was perceived as the most capable heir amidst a backdrop of ten short-lived sultans whose rule often ended violently. This period of instability caused significant economic disruption and highlighted the limitations of succession protocols at the time.  ### Shajar al-Durr’s Ascendance in Mamluk Egypt On the other hand, Shajar al-Durr emerged during a critical juncture when the Mamluks were seizing power from the Ayyubids. As the widow of al-Salih, her political influence became vital in the transition of power, marking her as a formidable presence in a male-dominated environment. Just as Raziya’s potential as a ruler served as a beacon of hope for stability in the Sultanate, Shajar al-Durr’s rise to prominence also indicated the significant role women could play in shaping the future of their nations amidst political chaos. Each woman, amidst civil wars and succession crises, showcased resilience and capability in leadership during their times.","Raziya and Shajar al-Durr both assumed leadership roles as female rulers during political upheaval, with Raziya becoming Sultan of Delhi and Shajar al-Durr ruling as Sultan of Egypt, challenging traditional gender norms in their respective societies.","Raziya and Shajar al-Durr both assumed leadership roles as female rulers during political upheaval, with Raziya becoming Sultan of Delhi and Shajar al-Durr ruling as Sultan of Egypt, challenging traditional gender norms in their respective societies.",0.216867469879518,0.1561733352441403,0.8689031,0.5
1310,direct,What are the two primary umbrella sects within Islam?,"Within Islam, the major sects are referred to as Sunni and Shia. The formation of these sects was significantly influenced by doctrinal differences during the Abbasid rule, when various interpretations of leadership began to take root. The Sunni sect emphasizes the practices and teachings of Muhammad as understood through the sunna, while the Shia sect developed its identity around alternative leadership ideologies. This period of the Abbasids not only facilitated the emergence of these distinct groups but also highlighted the rich intellectual engagement that characterized early Islamic society.",The two primary umbrella sects within Islam are Sunni and Shia.,The two primary umbrella sects within Islam are Sunni and Shia.,0.1616161616161616,0.0028981681007259,0.8726105,0
1138,direct,What were the two cultures that exchanged court rituals and participated in cultural exchanges despite their hostilities?,"The Sasanian Empire and the Byzantine Empire are the two distinct cultures that engaged in the exchange of court rituals and cultural interactions throughout their hostile encounters. Their rivalry was marked by significant military confrontations, including the Sasanian occupation of regions like Armenia, Syria, and as far as Libya by 619. Nonetheless, both empires shared similar court practices and utilized artistic expressions to affirm their state power. This cultural exchange included visiting each other's courts and recognizing their rival state's sovereignty, revealing an intricate relationship that balanced animosity and diplomacy during an era of continual war.",The Byzantine and Islamic cultures exchanged court rituals and participated in cultural exchanges despite their hostilities.,The Byzantine and Islamic cultures exchanged court rituals and participated in cultural exchanges despite their hostilities.,0.175438596491228,0.0259591675606995,0.8865072,1
1125,explain,What kingdom came into existence due to conflicts with northern groups such as the Khitan and Xianbei?,"In direct response to the threats posed by northern groups such as the Khitan and Xianbei, the Goguryeo kingdom was established. Throughout its history, particularly from the late fourth century onwards, Goguryeo's militaristic endeavors, spearheaded by King Gwanggaeto, were a defining factor in its expansionist strategies. Beyond mere warfare, Goguryeo engaged in significant diplomatic efforts to create alliances that would help strengthen its position against these northern adversaries. Additionally, the kingdom's cultural advancements, such as adopting written scripts and enhancing its royal funerary practices with murals, underscore the transformation that arose from these northern conflicts, weaving together military action and cultural sophistication into its identity.","The kingdom that emerged due to conflicts with northern groups like the Khitan and Xianbei was Goguryeo. Goguryeo was one of the Three Kingdoms of Korea and was established in the early centuries CE. It frequently engaged in military conflicts with various northern nomadic tribes, including the Xianbei and later the Khitan, as it sought to defend and expand its territory in the northern Korean Peninsula and parts of Manchuria.

Final answer: Goguryeo",Goguryeo,0.0185185185185185,1.0377033238158351e-51,0.8294357,0
1030,explain,What were the lifestyles of the different populations in the Maghreb at the time of Carthage's founding as described in the text?,"The distinct populations in the Maghreb at the time of Carthage's founding exhibited varied lifestyles based on their geographic settings. The settled farmers on the coastal plains focused on agricultural practices, utilizing the advantages of fertile land to grow crops. Alternatively, the seminomadic pastoralists of the Atlas Mountains adapted their way of life to a more mobile existence, managing livestock and shifting with the seasons. In the Sahara, nomadic tribes thrived in the arid conditions, navigating the desert and engaging in trade. This diversity illustrates the complexities of the Maghreb's early societies; despite being collectively referred to as Berbers, each ethnic group, such as the Musulamii and Gaetuli, developed sophisticated cultures and social systems that defied the simplistic label imposed by outsiders.","At the time of Carthage's founding (around the 9th century BCE), the Maghreb region was inhabited by diverse populations with varying lifestyles. Indigenous Berber groups primarily engaged in pastoralism and some agriculture, living in rural and semi-nomadic communities. Coastal areas, influenced by Phoenician settlers, developed urban centers focused on trade and maritime activities, reflecting a more complex and commercial lifestyle.

Final answer: The Maghreb populations at the time of Carthage's founding included mainly Berber pastoralists and agriculturalists living in rural or semi-nomadic settings, alongside Phoenician settlers on the coast who established urban, trade-oriented communities.","The Maghreb populations at the time of Carthage's founding included mainly Berber pastoralists and agriculturalists living in rural or semi-nomadic settings, alongside Phoenician settlers on the coast who established urban, trade-oriented communities.",0.2264150943396226,1.0002273827564565,0.8745214,0.5
1449,explain,"What was the original intention of Imhotep's design for the king's tomb, and what was the final architectural structure he created?","Originally, Imhotep intended to create a stone mastaba for the pharaoh Djoser during the Early Dynastic period, which represented a continuation of the established burial practices of the time. The mastaba, made of mud-brick until then, was crucial for housing the physical body and its Ka, tied to the spiritual beliefs in the afterlife. However, as the project progressed, Imhotep's architectural ingenuity shone through as he added multiple smaller mastabas to create a tiered structure. The resulting step pyramid not only fulfilled the functional requirements of a tomb but also symbolized a significant departure from traditional designs, marking an important evolution in ancient Egyptian architecture and serving as a testament to Imhotep's vision and creativity.","Imhotep originally intended to design a traditional mastaba tomb for King Djoser, which was a flat-roofed, rectangular structure with sloping sides. However, to create a more grand and enduring monument, he innovated by stacking several mastabas of decreasing size on top of each other, resulting in the first step pyramid. This design marked a significant evolution in Egyptian funerary architecture.

Final answer: Imhotep's original intention was to build a traditional mastaba tomb for King Djoser, but he ultimately created the Step Pyramid, a series of stacked mastabas forming the first pyramid.","Imhotep's original intention was to build a traditional mastaba tomb for King Djoser, but he ultimately created the Step Pyramid, a series of stacked mastabas forming the first pyramid.",0.2567567567567567,0.1260065239239676,0.8821928,0
